id;name;jhi_key;account_type;ordered_by;jhi_level;isleaf;balance_account_id;legal_entity_id;chart_of_accounts_id;upper_account_id
158921;Other management fees;5.07.02.03.01;EXPENSE;503;8;true;158921;AAA;1;158166
158140;Undertakings for collective investment (UCI) activities;5.07.03;EXPENSE;504;3;false;158140;AAA;1;157995
158923;Custodian bank;5.07.03.01;EXPENSE;505;8;true;158923;AAA;1;158140
158925;Central administration;5.07.03.02;EXPENSE;506;8;true;158925;AAA;1;158140
158927;Other;5.07.03.99;EXPENSE;507;8;true;158927;AAA;1;158140
158141;Corporate finance;5.07.04;EXPENSE;508;3;false;158141;AAA;1;157995
158929;Corporate finance;5.07.04.01;EXPENSE;509;8;true;158929;AAA;1;158141
158142;Other fee and commission income;5.07.99;EXPENSE;510;3;false;158142;AAA;1;157995
158933;Transfer commissions;5.07.99.01;EXPENSE;511;8;true;158933;AAA;1;158142
158931;Other service commissions;5.07.99.02;EXPENSE;512;8;true;158931;AAA;1;158142
157996;Net results on financial assets & liabilities not measured at fvtpl: net;5.08;INCOME;513;2;false;157996;AAA;1;157941
158143;Available-for-sale financial assets;5.08.01;INCOME;514;3;false;158143;AAA;1;157996
158935;(AFS) Available-for-sale financial assets;5.08.01.01;INCOME;515;8;true;158935;AAA;1;158143
158937;(AFS) Participations in associates;5.08.01.02;INCOME;516;8;true;158937;AAA;1;158143
158144;Loans and receivables (including finance leases);5.08.02;INCOME;517;3;false;158144;AAA;1;157996
158939;(LAR) Loans and receivables (including finance leases);5.08.02.01;INCOME;518;8;true;158939;AAA;1;158144
158145;Held-to-maturity investments;5.08.03;INCOME;519;3;false;158145;AAA;1;157996
158941;(HTM) Held-to-maturity investments;5.08.03.01;INCOME;520;8;true;158941;AAA;1;158145
158146;Financial liabilities measured at amortised cost;5.08.04;INCOME;521;3;false;158146;AAA;1;157996
158943;(AC) Financial liabilities measured at amortised cost;5.08.04.01;INCOME;522;8;true;158943;AAA;1;158146
158147;Other ;5.08.99;INCOME;523;3;false;158147;AAA;1;157996
158945;Other ;5.08.99.01;INCOME;524;8;true;158945;AAA;1;158147
157997;Gains (losses) on financial assets and liabilities held for trading: net (+/-);5.09;INCOME;525;2;false;157997;AAA;1;157941
158148;Equity instruments and related derivatives;5.09.01;INCOME;526;3;false;158148;AAA;1;157997
158947;(Trading) Equity instruments and related derivatives;5.09.01.01;INCOME;527;8;true;158947;AAA;1;158148
158149;Interest rate instruments and related derivatives ;5.09.02;INCOME;528;3;false;158149;AAA;1;157997
158951;(Trading) Options/Cap/Floor/Collar/Swaption;5.09.02.01;INCOME;529;8;true;158951;AAA;1;158149
158949;(Trading) IRS;5.09.02.02;INCOME;530;8;true;158949;AAA;1;158149
158955;(Trading) CIRS;5.09.02.03;INCOME;531;8;true;158955;AAA;1;158149
158953;(Trading) FRA;5.09.02.04;INCOME;532;8;true;158953;AAA;1;158149
158957;(Trading) Futures;5.09.02.05;INCOME;533;8;true;158957;AAA;1;158149
158959;(Trading) Bonds;5.09.02.06;INCOME;534;8;true;158959;AAA;1;158149
213324;(Trading) TRS;5.09.02.08;INCOME;535;8;true;213324;AAA;1;158149
158961;(Trading) Other;5.09.02.99;INCOME;536;8;true;158961;AAA;1;158149
158153;Foreign exchange trading;5.09.03;INCOME;537;3;false;158153;AAA;1;157997
158965;Foreign exchange trading - Spot;5.09.03.01;INCOME;538;8;true;158965;AAA;1;158153
158963;Foreign exchange trading - Term;5.09.03.02;INCOME;539;8;true;158963;AAA;1;158153
158971;Foreign exchange - Precious metal;5.09.03.03;INCOME;540;8;true;158971;AAA;1;158153
158967;Foreign exchange - Bills;5.09.03.04;INCOME;541;8;true;158967;AAA;1;158153
158969;Foreign exchange - Swap;5.09.03.05;INCOME;542;8;true;158969;AAA;1;158153
158152;Credit risk instruments and related derivatives;5.09.04;INCOME;543;3;false;158152;AAA;1;157997
158973;(Trading) Credit risk instruments and related derivatives;5.09.04.01;INCOME;544;8;true;158973;AAA;1;158152
158151;Commodities and related derivatives;5.09.05;INCOME;545;3;false;158151;AAA;1;157997
158975;(Trading) Commodities and related derivatives;5.09.05.01;INCOME;546;8;true;158975;AAA;1;158151
158150;Other (including hybrid derivatives);5.09.99;INCOME;547;3;false;158150;AAA;1;157997
158977;(Trading) Other (including hybrid derivatives);5.09.99.01;INCOME;548;8;true;158977;AAA;1;158150
157998;Net results on financial assets and liabilities designated at fvtpl: net(+/-);5.10;INCOME;549;2;false;157998;AAA;1;157941
158979;(FVO) Net results on financial assets and liabilities designated at fvtpl: net;5.10.01.01;INCOME;550;8;true;158979;AAA;1;157998
157999;Gains (losses) from hedge accounting: net (+/-);5.11;INCOME;551;2;false;157999;AAA;1;157941
158983;Hedge results - Derivative (+/-);5.11.01.01;INCOME;552;8;true;158983;AAA;1;157999
158981;Hedge results - Bonds (+/-);5.11.01.02;INCOME;553;8;true;158981;AAA;1;157999
158985;Hedge results - Credit (+/-);5.11.01.03;INCOME;554;8;true;158985;AAA;1;157999
158000;Exchange differences: net (+/-);5.12;INCOME;555;2;false;158000;AAA;1;157941
158167;Balance sheet - Rounding difference;5.12.01.01;INCOME;556;8;true;158167;AAA;1;158000
158987;Settlement - Matching difference;5.12.01.02;INCOME;557;8;true;158987;AAA;1;158000
158989;STEX - Gross amount difference;5.12.01.03;INCOME;558;8;true;158989;AAA;1;158000
158991;STEX - Pooling difference;5.12.01.04;INCOME;559;8;true;158991;AAA;1;158000
158993;Exchange differences on monetary financial instrument;5.12.01.05;INCOME;560;8;true;158993;AAA;1;158000
158001;Gains (losses) on derecognition of assets other than held for sale: net  (+/-);5.13;INCOME;561;2;false;158001;AAA;1;157941
158995;Gains (losses) on derecognition of assets other than held for sale: net  (+/-);5.13.01.01;INCOME;562;8;true;158995;AAA;1;158001
158002;Other operating income  (+);5.14;INCOME;563;2;false;158002;AAA;1;157941
158997;Other operating income  (+);5.14.01.01;INCOME;564;8;true;158997;AAA;1;158002
158003;Other operating expenses (-);5.15;EXPENSE;565;2;false;158003;AAA;1;157941
158999;Other operating expenses (-);5.15.01.01;EXPENSE;566;8;true;158999;AAA;1;158003
157991;Administration costs (-);5.16;EXPENSE;567;2;false;157991;AAA;1;157941
158154;Staff expenses (-);5.16.01;EXPENSE;568;3;false;158154;AAA;1;157991
159005;Wages and salaries;5.16.01.01;EXPENSE;569;8;true;159005;AAA;1;158154
159003;Social security charges;5.16.01.02;EXPENSE;570;8;true;159003;AAA;1;158154
